id,symbol,name,marketcap
551,MARKSANS,Marksans Pharma Limited,688545
552,NIITMTS,NIIT Learning Systems Limited,685828
553,AHLUCONT,Ahluwalia Contracts (India) Limited,684211
554,JUSTDIAL,Just Dial Limited,682981
555,TRIVENI,Triveni Engineering & Industries Limited,680992
556,TVSSCS,TVS Supply Chain Solutions Limited,679606
557,GARFIBRES,Garware Technical Fibres Limited,677605
558,VESUVIUS,Vesuvius India Limited,673201
559,SAREGAMA,Saregama India Limited,669724
560,DBL,Dilip Buildcon Limited,668056
561,INDIASHLTR,India Shelter Finance Corporation Limited,667785
562,BLUEJET,Blue Jet Healthcare Limited,664199
563,BALAMINES,Balaji Amines Limited,662681
564,ISGEC,Isgec Heavy Engineering Limited,660221
565,AVANTIFEED,Avanti Feeds Limited,659769
566,INDIACEM,The India Cements Limited,658222
567,BECTORFOOD,Mrs. Bectors Food Specialities Limited,655638
568,CAMPUS,Campus Activewear Limited,654774
569,LTFOODS,LT Foods Limited,651620
570,VIJAYA,Vijaya Diagnostic Centre Limited,651533
571,GOCOLORS,Go Fashion (India) Limited,650916
572,BORORENEW,BOROSIL RENEWABLES LIMITED,649752
573,LXCHEM,Laxmi Organic Industries Limited,648636
574,GREENLAM,Greenlam Industries Limited,644950
575,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,636365
576,CMSINFO,CMS Info Systems Limited,635831
577,KRBL,KRBL Limited,634826
578,ETHOSLTD,Ethos Limited,633419
579,TEXRAIL,Texmaco Rail & Engineering Limited,631741
580,TCI,Transport Corporation of India Limited,630973
581,IBREALEST,Indiabulls Real Estate Limited,628073
582,JINDWORLD,Jindal Worldwide Limited,626827
583,EMUDHRA,eMudhra Limited,626802
584,PDSL,PDS Limited,624429
585,GANESHHOUC,Ganesh Housing Corporation Limited,617523
586,CSBBANK,CSB Bank Limited,615007
587,SHAREINDIA,Share India Securities Limited,612355
588,IFBIND,IFB Industries Limited,610193
589,PRINCEPIPE,Prince Pipes And Fittings Limited,607257
590,VAIBHAVGBL,Vaibhav Global Limited,603366
591,ARVINDFASN,Arvind Fashions Limited,602432
592,EDELWEISS,Edelweiss Financial Services Limited,599772
593,SENCO,Senco Gold Limited,599437
594,SPANDANA,Spandana Sphoorty Financial Limited,599291
595,INDIGOPNTS,Indigo Paints Limited,598405
596,GENUSPOWER,Genus Power Infrastructures Limited,593340
597,SYMPHONY,Symphony Limited,592921
598,HGINFRA,H.G. Infra Engineering Limited,592340
599,TIPSINDLTD,TIPS Industries Limited,591597
600,SIS,SIS LIMITED,589731
601,MSTCLTD,Mstc Limited,585517
602,NESCO,Nesco Limited,585346
603,SANGHVIMOV,Sanghvi Movers Limited,585297
604,SANDUMA,Sandur Manganese & Iron Ores Limited,582354
605,UJJIVAN,Ujjivan Financial Services Limited,580182
606,ITDCEM,ITD Cementation India Limited,573771
607,CYIENTDLM,Cyient DLM Limited,571321
608,EPL,EPL Limited,570956
609,SUPRAJIT,Suprajit Engineering Limited,570619
610,SUNTECK,Sunteck Realty Limited,570565
611,HEMIPROP,Hemisphere Properties India Limited,569858
612,MOIL,MOIL Limited,566808
613,TIMETECHNO,Time Technoplast Limited,566528
614,ASTRAMICRO,Astra Microwave Products Limited,566300
615,TRIL,Transformers And Rectifiers (India) Limited,564055
616,WONDERLA,Wonderla Holidays Limited,562169
617,ASKAUTOLTD,ASK Automotive Limited,561068
618,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,560134
619,GMMPFAUDLR,GMM Pfaudler Limited,555626
620,SURYAROSNI,Surya Roshni Limited,553013
621,VSTIND,VST Industries Limited,551277
622,PTC,PTC India Limited,550427
623,JKPAPER,JK Paper Limited,546238
624,SANSERA,Sansera Engineering Limited,545691
625,CHOICEIN,Choice International Limited,545102
626,AURIONPRO,Aurionpro Solutions Limited,545065
627,PAISALO,Paisalo Digital Limited,544215
628,ITDC,India Tourism Development Corporation Limited,541677
629,HNDFDS,Hindustan Foods Limited,541359
630,PARADEEP,Paradeep Phosphates Limited,540987
631,KESORAMIND,Kesoram Industries Limited,531661
632,HCC,Hindustan Construction Company Limited,530791
633,ORCHPHARMA,Orchid Pharma Limited,529939
634,JAMNAAUTO,Jamna Auto Industries Limited,527600
635,ICRA,ICRA Limited,525423
636,RSYSTEMS,R Systems International Limited,522428
637,PRUDENT,Prudent Corporate Advisory Services Limited,519550
638,MTARTECH,Mtar Technologies Limited,517915
639,UTKARSHBNK,Utkarsh Small Finance Bank Limited,516698
640,RAIN,Rain Industries Limited,506873
641,DYNAMATECH,Dynamatic Technologies Limited,506445
642,JAICORPLTD,Jai Corp Limited,504744
643,RBA,Restaurant Brands Asia Limited,502574
644,GATEWAY,Gateway Distriparks Limited,500893
645,PURVA,Puravankara Limited,497421
646,GUJALKALI,Gujarat Alkalies and Chemicals Limited,494617
647,NAZARA,Nazara Technologies Limited,492287
648,RALLIS,Rallis India Limited,487145
649,VRLLOG,VRL Logistics Limited,486198
650,GABRIEL,Gabriel India Limited,479555
651,DODLA,Dodla Dairy Limited,477816
652,JKIL,J.Kumar Infraprojects Limited,477487
653,ROLEXRINGS,Rolex Rings Limited,476174
654,WABAG,VA Tech Wabag Limited,474793
655,PRICOLLTD,Pricol Limited,474607
656,HCG,Healthcare Global Enterprises Limited,470590
657,AGI,AGI Greenpac Limited,470026
658,DBCORP,D.B.Corp Limited,468917
659,FUSION,Fusion Micro Finance Limited,467993
660,DHANUKA,Dhanuka Agritech Limited,467565
661,MASFIN,MAS Financial Services Limited,466295
662,SULA,Sula Vineyards Limited,465380
663,TDPOWERSYS,TD Power Systems Limited,463357
664,GALLANTT,Gallantt Ispat Limited,463259
665,JAYNECOIND,Jayaswal Neco Industries Limited,461710
666,GULFOILLUB,Gulf Oil Lubricants India Limited,461151
667,SAMHI,Samhi Hotels Limited,460927
668,TEAMLEASE,Teamlease Services Limited,459568
669,KIRLPNU,Kirloskar Pneumatic Company Limited,458549
670,EPIGRAL,Epigral Limited,456200
671,TIIL,Technocraft Industries (India) Limited,453976
672,GOPAL,Gopal Snacks Limited,445834
673,JTEKTINDIA,Jtekt India Limited,445372
674,HEIDELBERG,HeidelbergCement India Limited,445181
675,SUNDARMHLD,Sundaram Finance Holdings Limited,443430
676,RTNPOWER,RattanIndia Power Limited,443034
677,STLTECH,Sterlite Technologies Limited,442221
678,JPASSOCIAT,Jaiprakash Associates Limited,440600
679,PATELENG,Patel Engineering Limited,440188
680,ASHOKA,Ashoka Buildcon Limited,439613
681,SINDHUTRAD,Sindhu Trade Links Limited,439450
682,PGEL,PG Electroplast Limited,432556
683,NFL,National Fertilizers Limited,429747
684,ENTERO,Entero Healthcare Solutions Limited,429479
685,JSFB,Jana Small Finance Bank Limited,428402
686,GOKEX,Gokaldas Exports Limited,428139
687,BANCOINDIA,Banco Products (I) Limited,426931
688,VMART,V-Mart Retail Limited,425979
689,SHANTIGEAR,Shanthi Gears Limited,425044
690,GHCL,GHCL Limited,424297
691,SUDARSCHEM,Sudarshan Chemical Industries Limited,422286
692,WELENT,Welspun Enterprises Limited,420916
693,FEDFINA,Fedbank Financial Services Limited,419032
694,NOCIL,NOCIL Limited,416781
695,TARC,TARC Limited,412397
696,KKCL,Kewal Kiran Clothing Limited,412149
697,ORIENTELEC,Orient Electric Limited,412010
698,BOROLTD,Borosil Limited,409345
699,KIRLOSIND,Kirloskar Industries Limited,408479
700,BALMLAWRIE,Balmer Lawrie & Company Limited,407673
701,FCL,Fineotex Chemical Limited,407560
702,GRWRHITECH,Garware Hi-Tech Films Limited,406218
703,SHARDAMOTR,Sharda Motor Industries Limited,406194
704,PARKHOTELS,Apeejay Surrendra Park Hotels Limited,406051
705,MAXESTATES,Max Estates Limited,405944
706,TI,Tilaknagar Industries Limited,405697
707,AMIORG,Ami Organics Limited,403363
708,ORIENTCEM,Orient Cement Limited,401133
709,SHILPAMED,Shilpa Medicare Limited,399766
710,AARTIDRUGS,Aarti Drugs Limited,399274
711,LGBBROSLTD,LG Balakrishnan & Bros Limited,398966
712,AARTIPHARM,Aarti Pharmalabs Limited,394178
713,TCIEXP,TCI Express Limited,392608
714,WSTCSTPAPR,West Coast Paper Mills Limited,390415
715,ADVENZYMES,Advanced Enzyme Technologies Limited,389651
716,PRIVISCL,Privi Speciality Chemicals Limited,387170
717,GREENPANEL,Greenpanel Industries Limited,385970
718,VENUSPIPES,Venus Pipes & Tubes Limited,384104
719,BBOX,Black Box Limited,378226
720,IIFLSEC,IIFL Securities Limited,378015
721,PILANIINVS,Pilani Investment and Industries Corporation Limited,377071
722,ROSSARI,Rossari Biotech Limited,373988
723,KSL,Kalyani Steels Limited,373779
724,DCBBANK,DCB Bank Limited,373381
725,IMAGICAA,Imagicaaworld Entertainment Limited,372268
726,BAJAJHIND,Bajaj Hindusthan Sugar Limited,371073
727,DCAL,Dishman Carbogen Amcis Limited,369303
728,HARSHA,Harsha Engineers International Limited,365178
729,BBL,Bharat Bijlee Limited,362613
730,YATHARTH,Yatharth Hospital & Trauma Care Services Limited,360829
731,ORISSAMINE,The Orissa Minerals Development Company Limited,354789
732,THANGAMAYL,Thangamayil Jewellery Limited,353362
733,ZAGGLE,Zaggle Prepaid Ocean Services Limited,352505
734,BHARATRAS,Bharat Rasayan Limited,352381
735,KOLTEPATIL,Kolte - Patil Developers Limited,352014
736,KSCL,Kaveri Seed Company Limited,348589
737,MEDIASSIST,Medi Assist Healthcare Services Limited,348187
738,INOXGREEN,Inox Green Energy Services Limited,348070
739,HATHWAY,Hathway Cable & Datacom Limited,346940
740,SSWL,Steel Strips Wheels Limited,346657
741,UNICHEMLAB,Unichem Laboratories Limited,346431
742,CIGNITITEC,Cigniti Technologies Limited,345578
743,IMFA,Indian Metals & Ferro Alloys Limited,345090
744,ASHAPURMIN,Ashapura Minechem Limited,343942
745,HGS,Hinduja Global Solutions Limited,343599
746,MUTHOOTMF,Muthoot Microfin Limited,340558
747,SUBROS,Subros Limited,336323
748,RAMKY,Ramky Infrastructure Limited,336163
749,SUNFLAG,Sunflag Iron And Steel Company Limited,335479
750,CARERATING,CARE Ratings Limited,334084
751,GENSOL,Gensol Engineering Limited,333755
752,SKIPPER,Skipper Limited,332035
753,LAOPALA,La Opala RG Limited,330614
754,LUMAXTECH,Lumax Auto Technologies Limited,329338
755,DCXINDIA,DCX Systems Limited,327699
756,BOMDYEING,Bombay Dyeing & Mfg Company Limited,326841
757,HIKAL,Hikal Limited,326809
758,JISLJALEQS,Jain Irrigation Systems Limited,326392
759,CUPID,Cupid Limited,325132
760,AVALON,Avalon Technologies Limited,324319
761,LUXIND,Lux Industries Limited,323075
762,NUCLEUS,Nucleus Software Exports Limited,317237
763,TASTYBITE,Tasty Bite Eatables Limited,317232
764,SOTL,Savita Oil Technologies Limited,317033
765,ARVSMART,Arvind SmartSpaces Limited,316187
766,SANDHAR,Sandhar Technologies Limited,316031
767,SALASAR,Salasar Techno Engineering Limited,315705
768,NEOGEN,Neogen Chemicals Limited,315578
769,DATAMATICS,Datamatics Global Services Limited,314373
770,JTLIND,JTL INDUSTRIES LIMITED,313566
771,ANUP,The Anup Engineering Limited,313554
772,HERITGFOOD,Heritage Foods Limited,313511
773,THYROCARE,Thyrocare Technologies Limited,312394
774,VADILALIND,Vadilal Industries Limited,312207
775,NAVNETEDUL,Navneet Education Limited,311609
776,DISHTV,Dish TV India Limited,308410
777,KDDL,KDDL Limited,307441
778,KALAMANDIR,Sai Silks (Kalamandir) Limited,307346
779,LANDMARK,Landmark Cars Limited,303093
780,INDOCO,Indoco Remedies Limited,302852
781,BAJAJCON,Bajaj Consumer Care Limited,302472
782,TVSSRICHAK,TVS Srichakra Limited,299222
783,CARTRADE,Cartrade Tech Limited,299168
784,SBCL,Shivalik Bimetal Controls Limited,299167
785,FIEMIND,Fiem Industries Limited,298136
786,PRAKASH,Prakash Industries Limited,297724
787,DELTACORP,Delta Corp Limited,296289
788,RAJRATAN,Rajratan Global Wire Limited,294929
789,IDEAFORGE,Ideaforge Technology Limited,294901
790,MAHLOG,Mahindra Logistics Limited,294520
791,PFOCUS,Prime Focus Limited,294451
792,GREAVESCOT,Greaves Cotton Limited,293712
793,DOLLAR,Dollar Industries Limited,291975
794,UFLEX,UFLEX Limited,291879
795,UNITECH,Unitech Limited,291718
796,BFUTILITIE,BF Utilities Limited,290794
797,SHARDACROP,Sharda Cropchem Limited,289743
798,BANARISUG,Bannari Amman Sugars Limited,288752
799,SEQUENT,Sequent Scientific Limited,288096
800,GREENPLY,Greenply Industries Limited,285991
801,MAITHANALL,Maithan Alloys Limited,285410
802,SHK,S H Kelkar and Company Limited,284455
803,SUNCLAY,Sundaram Clayton Limited,284008
804,GUFICBIO,Gufic Biosciences Limited,283284
805,BLSE,BLS E-Services Limited,281655
806,DIACABS,Diamond Power Infrastructure Limited,280533
807,ESAFSFB,ESAF Small Finance Bank Limited,280298
808,VSTTILLERS,V.S.T Tillers Tractors Limited,279908
809,HLEGLAS,HLE Glascoat Limited,278728
810,BCG,Brightcom Group Limited,278473
811,GOODLUCK,Goodluck India Limited,277958
812,SWARAJENG,Swaraj Engines Limited,277334
813,SEAMECLTD,Seamec Limited,276777
814,SMLISUZU,SML Isuzu Limited,276155
815,ASHIANA,Ashiana Housing Limited,275388
816,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,275315
817,HINDWAREAP,Hindware Home Innovation Limited,272341
818,SAGCEM,Sagar Cements Limited,272264
819,SAKSOFT,Saksoft Limited,271518
820,APOLLO,Apollo Micro Systems Limited,269088
821,SUPRIYA,Supriya Lifescience Limited,267967
822,AUTOAXLES,Automotive Axles Limited,265585
823,STYLAMIND,Stylam Industries Limited,264746
824,FLAIR,Flair Writing Industries Limited,264384
825,VINDHYATEL,Vindhya Telelinks Limited,263711
826,CARYSIL,CARYSIL LIMITED,263319
827,THEJO,Thejo Engineering Limited,263235
828,MPSLTD,MPS Limited,262283
829,MARATHON,Marathon Nextgen Realty Limited,262253
830,ISMTLTD,ISMT Limited,260685
831,FILATEX,Filatex India Limited,259877
832,NRBBEARING,NRB Bearing Limited,259801
833,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,259428
834,MOLDTKPAC,Mold-Tek Packaging Limited,259202
835,DREAMFOLKS,Dreamfolks Services Limited,258952
836,GMRP&UI,GMR Power and Urban Infra Limited,258640
837,SHALBY,Shalby Limited,258251
838,INNOVACAP,Innova Captab Limited,257255
839,PFS,PTC India Financial Services Limited,256913
840,AJMERA,Ajmera Realty & Infra India Limited,256485
841,HMAAGRO,HMA Agro Industries Limited,255643
842,NILKAMAL,Nilkamal Limited,254541
843,RPGLIFE,RPG Life Sciences Limited,252791
844,TATVA,Tatva Chintan Pharma Chem Limited,252307
845,STYRENIX,Styrenix Performance Materials Limited,251659
846,QUICKHEAL,Quick Heal Technologies Limited,251154
847,ACCELYA,Accelya Solutions India Limited,250799
848,REPCOHOME,Repco Home Finance Limited,250683
849,PCJEWELLER,PC Jeweller Limited,250387
850,APOLLOPIPE,Apollo Pipes Limited,250247
851,GANECOS,Ganesha Ecosphere Limited,249668
852,PARAGMILK,Parag Milk Foods Limited,248182
853,BAJEL,Bajel Projects Limited,248091
854,PSPPROJECT,PSP Projects Limited,247644
855,GIPCL,Gujarat Industries Power Company Limited,246615
856,XPROINDIA,Xpro India Limited,246204
857,PITTIENG,Pitti Engineering Limited,245247
858,SHAKTIPUMP,Shakti Pumps (India) Limited,245118
859,TIDEWATER,Tide Water Oil Company (India) Limited,243500
860,SHAILY,Shaily Engineering Plastics Limited,243075
861,EVEREADY,Eveready Industries India Limited,242921
862,CONFIPET,Confidence Petroleum India Limited,241162
863,POLYPLEX,Polyplex Corporation Limited,240372
864,TAJGVK,Taj GVK Hotels & Resorts Limited,240053
865,TIRUMALCHM,Thirumalai Chemicals Limited,239537
866,SPECTRUM,Spectrum Electrical Industries Limited,239265
867,PARAS,Paras Defence and Space Technologies Limited,238602
868,EXICOM,Exicom Tele-Systems Limited,238447
869,PGIL,Pearl Global Industries Limited,238344
870,MANORAMA,Manorama Industries Limited,237413
871,SOMANYCERA,Somany Ceramics Limited,236734
872,KINGFA,Kingfa Science & Technology (India) Limited,236711
873,FINOPB,Fino Payments Bank Limited,236578
874,UNIPARTS,Uniparts India Limited,236456
875,INDOSTAR,IndoStar Capital Finance Limited,236054
876,DIVGIITTS,Divgi Torqtransfer Systems Limited,235458
877,HINDOILEXP,Hindustan Oil Exploration Company Limited,235087
878,SEPC,SEPC Limited,234686
879,INDIAGLYCO,India Glycols Limited,234394
880,IPL,India Pesticides Limited,234012
881,GENESYS,Genesys International Corporation Limited,233863
882,SANGHIIND,Sanghi Industries Limited,233398
883,BSHSL,Bombay Super Hybrid Seeds Limited,233381
884,SATIN,Satin Creditcare Network Limited,232155
885,AXISCADES,AXISCADES Technologies Limited,231107
886,ARTEMISMED,Artemis Medicare Services Limited,230759
887,SASKEN,Sasken Technologies Limited,230632
888,EIHAHOTELS,EIH Associated Hotels Limited,230507
889,DHANI,Dhani Services Limited,229530
890,PRECWIRE,Precision Wires India Limited,229040
891,VIDHIING,Vidhi Specialty Food Ingredients Limited,228448
892,APCOTEXIND,Apcotex Industries Limited,227159
893,HUHTAMAKI,Huhtamaki India Limited,225924
894,LUMAXIND,Lumax Industries Limited,225439
895,GOCLCORP,GOCL Corporation Limited,225357
896,WENDT,Wendt (India) Limited,224676
897,DEN,Den Networks Limited,224534
898,YATRA,Yatra Online Limited,224469
899,HONDAPOWER,Honda India Power Products Limited,224451
900,KCP,KCP Limited,224065
901,EMSLIMITED,EMS Limited,223456
902,JAGRAN,Jagran Prakashan Limited,223422
903,SANGAMIND,Sangam (India) Limited,222542
904,BEPL,Bhansali Engineering Polymers Limited,222355
905,CAPACITE,Capacit'e Infraprojects Limited,221536
906,NPST,Network People Services Technologies Limited,220739
907,SUVEN,Suven Life Sciences Limited,218074
908,MANINDS,Man Industries (India) Limited,218024
909,DIAMONDYD,Prataap Snacks Limited,217761
910,CENTUM,Centum Electronics Limited,217009
911,VENKEYS,Venky's (India) Limited,216839
912,IKIO,IKIO Lighting Limited,216618
913,TCNSBRANDS,TCNS Clothing Co. Limited,216427
914,OPTIEMUS,Optiemus Infracom Limited,215888
915,MOREPENLAB,Morepen Laboratories Limited,214946
916,MUKANDLTD,Mukand Limited,214937
917,UDS,Updater Services Limited,214469
918,ALEMBICLTD,Alembic Limited,214284
919,RAMASTEEL,Rama Steel Tubes Limited,213130
920,IOLCP,IOL Chemicals and Pharmaceuticals Limited,212191
921,MBAPL,Madhya Bharat Agro Products Limited,211400
922,MMFL,MM Forgings Limited,211135
923,VAKRANGEE,Vakrangee Limited,210313
924,TARSONS,Tarsons Products Limited,209420
925,ASTEC,Astec LifeSciences Limited,209318
926,JSLL,Jeena Sikho Lifecare Limited,209235
927,VISHNU,Vishnu Chemicals Limited,209163
928,TTKHLTCARE,TTK Healthcare Limited,208627
929,MTNL,Mahanagar Telephone Nigam Limited,206640
930,RPTECH,Rashi Peripherals Limited,206101
931,RPSGVENT,RPSG VENTURES LIMITED,206013
932,ORIENTHOT,Oriental Hotels Limited,205925
933,GTLINFRA,GTL Infrastructure Limited,204912
934,WEBELSOLAR,Websol Energy System Limited,204827
935,JASH,Jash Engineering Limited,203848
936,UGROCAP,Ugro Capital Limited,203758
937,SDBL,Som Distilleries & Breweries Limited,203659
938,HPL,HPL Electric & Power Limited,203511
939,TCPLPACK,TCPL Packaging Limited,203280
940,ADFFOODS,ADF Foods Limited,203193
941,HMT,HMT Limited,202484
942,MOL,Meghmani Organics Limited,201671
943,MUFIN,Mufin Green Finance Limited,201352
944,THEMISMED,Themis Medicare Limited,201200
945,PANAMAPET,Panama Petrochem Limited,201141
946,MANGLMCEM,Mangalam Cement Limited,201005
947,SIGNPOST,Signpost India Limited,200919
948,HITECH,Hi-Tech Pipes Limited,200661
949,MAYURUNIQ,Mayur Uniquoters Ltd,200292
950,SIYSIL,Siyaram Silk Mills Limited,199129
951,JINDALPOLY,Jindal Poly Films Limited,198593
952,KRSNAA,Krsnaa Diagnostics Limited,198453
953,DEEPINDS,Deep Industries Limited,197440
954,PNBGILTS,PNB Gilts Limited,197291
955,HIL,HIL Limited,196422
956,RICOAUTO,Rico Auto Industries Limited,196299
957,BFINVEST,BF Investment Limited,196022
958,GANDHAR,Gandhar Oil Refinery (India) Limited,195838
959,IFGLEXPOR,IFGL Refractories Limited,195820
960,BARBEQUE,Barbeque Nation Hospitality Limited,194514
961,ANDHRAPAP,ANDHRA PAPER LIMITED,193183
962,IRMENERGY,IRM Energy Limited,192693
963,RIIL,Reliance Industrial Infrastructure Limited,192593
964,SHRIRAMPPS,Shriram Properties Limited,192554
965,GLOBUSSPR,Globus Spirits Limited,191812
966,DREDGECORP,Dredging Corporation of India Limited,190288
967,RUPA,Rupa & Company Limited,189865
968,SJS,S.J.S. Enterprises Limited,189533
969,PARACABLES,Paramount Communications Limited,188618
970,EXPLEOSOL,Expleo Solutions Limited,188324
971,PRECAM,Precision Camshafts Limited,187645
972,BHARATWIRE,Bharat Wire Ropes Limited,187252
973,GTPL,GTPL Hathway Limited,187251
974,VPRPL,Vishnu Prakash R Punglia Limited,186779
975,ADORWELD,Ador Welding Limited,186435
976,DPABHUSHAN,D. P. Abhushan Limited,186117
977,FOSECOIND,Foseco India Limited,185980
978,SCILAL,Shipping Corporation of India Land and Assets Limited,185854
979,SESHAPAPER,Seshasayee Paper and Boards Limited,185578
980,JINDRILL,Jindal Drilling And Industries Limited,184697
981,YASHO,Yasho Industries Limited,184559
982,GREENPOWER,Orient Green Power Company Limited,183395
983,NITINSPIN,Nitin Spinners Limited,182631
984,GOLDIAM,Goldiam International Limited,182513
985,PIXTRANS,Pix Transmissions Limited,181801
986,SIGACHI,Sigachi Industries Limited,180177
987,ARMANFIN,Arman Financial Services Limited,179568
988,MONARCH,Monarch Networth Capital Limited,179390
989,AMRUTANJAN,Amrutanjan Health Care Limited,179376
990,FMGOETZE,Federal-Mogul Goetze (India) Limited.,179191
991,PENIND,Pennar Industries Limited,179074
992,GEPIL,GE Power India Limited,178523
993,PVSL,Popular Vehicles and Services Limited,177640
994,JUBLINDS,Jubilant Industries Limited,176745
995,63MOONS,63 moons technologies limited,175836
996,CANTABIL,Cantabil Retail India Limited,174636
997,RAMCOIND,Ramco Industries Limited,174486
998,JYOTISTRUC,Jyoti Structures Limited,173962
999,VSSL,Vardhman Special Steels Limited,172776
1000,HERCULES,Hercules Hoists Limited,172464
1001,NSIL,Nalwa Sons Investments Limited,171782
1002,HLVLTD,HLV LIMITED,171737
1003,SURYODAY,Suryoday Small Finance Bank Limited,170819
1004,TNPL,Tamil Nadu Newsprint & Papers Limited,170708
1005,SUBEXLTD,Subex Limited,168882
1006,RISHABH,Rishabh Instruments Limited,168798
1007,SERVOTECH,Servotech Power Systems Limited,168318
1008,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,167362
1009,ATFL,Agro Tech Foods Limited,166198
1010,OMAXE,Omaxe Limited,165616
1011,EVERESTIND,Everest Industries Limited,164450
1012,PREMEXPLN,Premier Explosives Limited,163617
1013,GNA,GNA Axles Limited,163352
1014,GOKULAGRO,Gokul Agro Resources Limited,161044
1015,TALBROAUTO,Talbros Automotive Components Limited,160802
1016,DCMSRIND,DCM Shriram Industries Limited,159370
1017,NELCO,NELCO Limited,158394
1018,KICL,Kalyani Investment Company Limited,158273
1019,MOTISONS,Motisons Jewellers Limited,157563
1020,5PAISA,5Paisa Capital Limited,157485
1021,KIRIINDUS,Kiri Industries Limited,157109
1022,CAPITALSFB,Capital Small Finance Bank Limited,157108
1023,INDRAMEDCO,Indraprastha Medical Corporation Limited,157082
1024,AEROFLEX,Aeroflex Industries Limited,156995
1025,SIRCA,Sirca Paints India Limited,156013
1026,SHANKARA,Shankara Building Products Limited,155475
1027,FAIRCHEMOR,Fairchem Organics Limited,154975
1028,BLKASHYAP,B. L. Kashyap and Sons Limited,154652
1029,TFCILTD,Tourism Finance Corporation of India Limited,154537
1030,SADHNANIQ,Sadhana Nitrochem Limited,154164
1031,INDNIPPON,India Nippon Electricals Limited,153973
1032,GVKPIL,GVK Power & Infrastructure Limited,153916
1033,RANEHOLDIN,Rane Holdings Limited,153872
1034,GEOJITFSL,Geojit Financial Services Limited,153531
1035,DCW,DCW Limited,151710
1036,SBGLP,Suratwwala Business Group Limited,151583
1037,BCLIND,Bcl Industries Limited,151150
1038,SMSPHARMA,SMS Pharmaceuticals Limited,150892
1039,DPSCLTD,DPSC Limited,149964
1040,CAMLINFINE,Camlin Fine Sciences Limited,149453
1041,CONTROLPR,Control Print Limited,148722
1042,REFEX,Refex Industries Limited,148534
1043,KRISHANA,Krishana Phoschem Limited,147779
1044,EKC,Everest Kanto Cylinder Limited,147385
1045,WHEELS,Wheels India Limited,146097
1046,JITFINFRA,JITF Infralogistics Limited,146048
1047,V2RETAIL,V2 Retail Limited,146036
1048,SALZERELEC,Salzer Electronics Limited,145737
1049,UNIVCABLES,Universal Cables Limited,145682
1050,SPAL,S. P. Apparels Limited,145663
1051,EPACK,EPACK Durable Limited,144991
1052,SWELECTES,Swelect Energy Systems Limited,144668
1053,GPTHEALTH,GPT Healthcare Limited,144663
1054,HITECHGEAR,The Hi-Tech Gears Limited,144489
1055,INSECTICID,Insecticides (India) Limited,143934
1056,PENINLAND,Peninsula Land Limited,143700
1057,SHREDIGCEM,Shree Digvijay Cement Co.Ltd,143279
1058,SPIC,Southern Petrochemicals Industries Corporation  Limited,143159
1059,NIITLTD,NIIT Limited,142629
1060,BIGBLOC,Bigbloc Construction Limited,142425
1061,ORIANA,Oriana Power Limited,142335
1062,SPCENET,Spacenet Enterprises India Limited,142054
1063,SHALPAINTS,Shalimar Paints Limited,139044
1064,KAMDHENU,Kamdhenu Limited,139014
1065,STOVEKRAFT,Stove Kraft Limited,138669
1066,RKSWAMY,R K Swamy Limited,138409
1067,NAVKARCORP,Navkar Corporation Limited,138177
1068,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,136412
1069,DHAMPURSUG,Dhampur Sugar Mills Limited,135875
1070,NDTV,New Delhi Television Limited,135744
1071,ARIHANTSUP,Arihant Superstructures Limited,135499
1072,VASCONEQ,Vascon Engineers Limited,135446
1073,KUANTUM,Kuantum Papers Limited,134822
1074,APTECHT,Aptech Limited,134381
1075,INDIANHUME,Indian Hume Pipe Company Limited,134180
1076,ROSSELLIND,Rossell India Limited,133804
1077,AHL,Abans Holdings Limited,133539
1078,SOLARA,Solara Active Pharma Sciences Limited,133528
1079,SUMMITSEC,Summit Securities Limited,133220
1080,ALICON,Alicon Castalloy Limited,132737
1081,KSOLVES,Ksolves India Limited,132663
1082,IGPL,IG Petrochemicals Limited,132649
1083,STEELCAS,Steelcast Limited,132349
1084,POKARNA,Pokarna Limited,132093
1085,ATL,Allcargo Terminals Limited,132061
1086,ATULAUTO,Atul Auto Limited,132013
1087,GANESHBE,Ganesh Benzoplast Limited,131957
1088,COSMOFIRST,COSMO FIRST LIMITED,131446
1089,AWHCL,Antony Waste Handling Cell Limited,131040
1090,DWARKESH,Dwarikesh Sugar Industries Limited,130870
1091,HARIOMPIPE,Hariom Pipe Industries Limited,130817
1092,SMCGLOBAL,SMC Global Securities Limited,130718
1093,MADRASFERT,Madras Fertilizers Limited,130492
1094,DSSL,Dynacons Systems & Solutions Limited,130459
1095,STEELXIND,STEEL EXCHANGE INDIA LIMITED,130246
1096,MONTECARLO,Monte Carlo Fashions Limited,129876
1097,E2E,E2E Networks Limited,129770
1098,VERTOZ,Vertoz Advertising Limited,129707
1099,GIRIRAJ,Giriraj Civil Developers Limited,129374
1100,NGLFINE,NGL Fine-Chem Limited,129368
1101,IGARASHI,Igarashi Motors India Limited,129142
